cluster,rank,chunk_id,leader,speech_id,similarity_to_centroid,passage
-1,1,macron2022_c013,macron,macron2022,0.7879384756088257,"To do this, we must remain united, but we must also preserve an undiminished collective ambition: an ambition to continue transforming our country in the face of vested interests, in the face of all the apparently good reasons for continuing as before, and in the face of the temptation to succumb to a spirit of defeat.  That is how we will serve our young people and the generations to come. Over t"
-1,2,merkel1_c004,merkel,merkel1,0.781822144985199,"Our state does everything it can to guarantee its citizens security in freedom.  This work is never finished, and especially this year we have provided our security authorities with a great deal of additional support. In 2017, as the Federal Government, wherever political or legislative changes are necessary, we will initiate and implement the necessary measures as quickly as possible.  Many peopl"
-1,3,macron2022_c001,macron,macron2022,0.7813327312469482,"New Year’s addresses have something unique about them: they compel us to speak of a future which, in truth, we do not know, but which we know with certainty we will have to face, with our strengths and our weaknesses, but as a united country.  In carrying out the responsibilities entrusted to me, I never lose sight of this imperative of the unity of the nation that we all form together."
-1,4,merkel1_c003,merkel,merkel1,0.7741330862045288,"And even with the images of bombed-out Aleppo in Syria before our eyes, we can once again say how important and right it was that, during the past year, our country helped those who genuinely need our protection to gain a foothold here among us and to integrate.  All of this is reflected in our democracy, in our rule of law, and in our values.  They are the opposite of the hate-filled world of ter"
-1,5,merkel3_c007,merkel,merkel3,0.7599086165428162,"In order to safeguard jobs, prosperity and the foundations of our lives, the Federal Government is consistently taking the next steps in the structural transition from traditional to new technologies and is implementing its strategy for digital progress.  Through our efforts to create equivalent living conditions, we want to ensure that everyone has good access to education, housing and healthcare"
-1,6,merkel3_c004,merkel,merkel3,0.7597962021827698,"On the one hand, this overwhelming beauty. On the other hand, we know how vulnerable the foundations of our lives are—in the broadest sense. There is the defining challenge of climate change, the challenge of managing and regulating migration, and the fight against international terrorism.  It is in our own interest to resolve all of these issues, and we can do so most effectively when we also tak"
-1,7,macron2023_c008,macron,macron2023,0.7578418254852295,"On immigration, the law passed in December, together with the agreement reached at the European level, gives us the tools necessary to better uphold the principles of the Republic: that is, both to fight smugglers and illegal immigration, and to better integrate those who are meant to remain on our soil—refugees, students, researchers and workers.  I am, of course, well aware of the impatience—and"
-1,8,macron2022_c003,macron,macron2022,0.7562668323516846,"I think back to the wishes I expressed to you at the same time one year ago. Who could have imagined then that, just as we thought we were emerging, with great difficulty, from a global pandemic, within a matter of weeks we would have to confront unimaginable challenges: war returning to European soil following Russia’s aggression against Ukraine and its democracy; tens, perhaps hundreds, of thous"
-1,9,macron2025_c002,macron,macron2025,0.7533634901046753,"But beyond all this, no one is blind to the disorder in the world or to our own weaknesses. Our world is becoming harsher every day. War and instability persist in the Near and Middle East, with consequences for our economies, our interests, and sometimes our cohesion. And war continues to rage on European soil, with particular intensity since Russia decided to launch a new aggression against Ukra"
-1,10,macron2022_c012,macron,macron2022,0.7533273100852966,"Throughout the long history of our nation, there have been generations called upon to resist, others called upon to rebuild, and still others called upon to expand the prosperity that had been achieved.  As for us, it falls to us to confront this new chapter in a difficult era and, beyond the emergencies of this year, some of which I have just mentioned, to take responsibility for rebuilding many "
0,1,trump1_c026,trump,trump1,0.8841954469680786,"This is a republic of proud citizens who are united by our common conviction that America is the greatest nation in all of history. We are, and must always be, a land of hope, of light, and of glory to all the world. This is the precious inheritance that we must safeguard at every single turn.  For the past four years, I have worked to do just that. From a great hall of Muslim leaders in Riyadh to"
0,2,trump3_c006,trump,trump3,0.8610089421272278,"This American carnage stops right here and stops right now.  We are one nation, and their pain is our pain. Their dreams are our dreams, and their success will be our success.  We share one heart, one home, and one glorious destiny.  The oath of office I take today is an oath of allegiance to all Americans.  For many decades, we've enriched foreign industry at the expense of American industry, sub"
0,3,trump1_c005,trump,trump1,0.8608019351959229,"So I left behind my former life and stepped into a very difficult arena, but an arena nevertheless, with all sorts of potential if properly done. America had given me so much, and I wanted to give something back.  Together with millions of hardworking patriots across this land, we built the greatest political movement in the history of our country. We also built the greatest economy in the history"
0,4,trump1_c000,trump,trump1,0.8605102896690369,"My fellow Americans: Four years ago, we launched a great national effort to rebuild our country, to renew its spirit, and to restore the allegiance of this government to its citizens. In short, we embarked on a mission to make America great again — for all Americans.  As I conclude my term as the 45th President of the United States, I stand before you truly proud of what we have achieved together."
0,5,trump3_c016,trump,trump3,0.8567081689834595,"So to all Americans in every city near and far, small and large, from mountain to mountain, from ocean to ocean, hear these words:  You will never, never be ignored again.  Your voice, your hopes, and your dreams will define our American destiny.  And your courage and goodness and love will forever guide us along the way.  Together, we will make America strong again.  We will make America wealthy "
0,6,trump1_c003,trump,trump1,0.8534493446350098,"Most of all, I want to thank the American people. To serve as your President has been an honor beyond description. Thank you for this extraordinary privilege. And that’s what it is — a great privilege and a great honor.  We must never forget that while Americans will always have our disagreements, we are a nation of incredible, decent, faithful, and peace-loving citizens who all want our country t"
0,7,trump3_c010,trump,trump3,0.8444074392318726,"We will build new roads and highways and bridges and airports and tunnels and railways all across our wonderful nation.  We will get our people off of welfare and back to work, rebuilding our country with American hands and American labor.  We will follow two simple rules: buy American and hire American.  We will seek friendship and goodwill with the nations of the world, but we do so with the und"
0,8,trump3_c008,trump,trump3,0.839303731918335,"We assembled here today are issuing a new decree to be heard in every city, in every foreign capital, and in every hall of power.  From this day forward, a new vision will govern our land.  From this day forward, it's going to be only America first. America first.  Every decision on trade, on taxes, on immigration, on foreign affairs will be made to benefit American workers and American families."
0,9,trump3_c004,trump,trump3,0.8380661010742188,"January 20th, 2017, will be remembered as the day the people became the rulers of this nation again.  The forgotten men and women of our country will be forgotten no longer. Everyone is listening to you now.  You came by the tens of millions to become part of a historic movement the likes of which the world has never seen before.  At the center of this movement is a crucial conviction: that a nati"
0,10,trump1_c019,trump,trump1,0.8376494646072388,"This, I hope, will be our greatest legacy: Together, we put the American people back in charge of our country. We restored self-government. We restored the idea that in America no one is forgotten, because everyone matters and everyone has a voice. We fought for the principle that every citizen is entitled to equal dignity, equal treatment, and equal rights because we are all made equal by God. Ev"
1,1,erdogan1_c003,erdogan,erdogan1,0.9014750719070435,"In fact, the Presidential System that we are discussing today did not suddenly emerge in a day, a month, or a year. Behind it lies such a deep and thought-provoking historical background.  The system we are discussing is the most appropriate solution to the question of survival that Türkiye and the Turkish nation have faced for centuries. That is the issue.  When we bring together all these experi"
1,2,erdogan1_c000,erdogan,erdogan1,0.8827733993530273,"My dear brothers and sisters, I congratulate the administrators of SETA for organizing this symposium at a time when Türkiye stands on the eve of a historic decision to transition to the Presidential System.  Every country has a form of government unique to its own circumstances. When we look at our country, we see that over the past 200 years we have gone through many different experiences one af"
