leader,filename,relative_path,language_expected,language_detected,encoding,word_count,char_count,paragraph_count,token_count,estimated_chunk_count,short_chunks,mean_chunk_tokens,speech_date,date_confidence,speech_type,source,title,review_status,notes,missing_metadata,years_in_text,flags
erdogan,erdogan1.txt,data\original\erdogan\erdogan1.txt,en,en,utf-8,904,5427,25,1064,10,0,106.4,,unknown,symposium_speech,,SETA symposium speech on the presidential system,verify,Not a New Year message: a speech at a SETA symposium held 'on the eve of the historic decision' on the presidential system (likely early 2017). Source text looked like an automatic transcript; the translation smooths it. Confirm date/source.,speech_date;source,1950;2007,missing_metadata;review:verify;speech_type_outlier;third_person_narration
erdogan,erdogan2022.txt,data\original\erdogan\erdogan2022.txt,en,en,utf-8,1098,6679,52,1359,13,0,104.5,2022-12-31,inferred_from_text,new_year_message,,New Year message 2022/23,ok,Original text: 'geride bıraktığımız 2022'yi uğurluyor ... 2023'te'.,source,2011;2013;2016;2018;2019;2021;2022;2023,missing_metadata
erdogan,erdogan2023.txt,data\original\erdogan\erdogan2023.txt,en,en,utf-8,1102,6541,50,1317,14,0,94.1,2023-12-31,inferred_from_text,new_year_message,,New Year message 2023/24,ok,Original refers to the night 2023 ends.,source,2023;2024,missing_metadata
erdogan,erdogan2024.txt,data\original\erdogan\erdogan2024.txt,en,en,utf-8,931,5529,41,1138,12,0,94.8,2024-12-31,inferred_from_text,new_year_message,,New Year message 2024/25,ok,Original: 'Bugün 2024'e veda'.,source,1967;2024;2025,missing_metadata
erdogan,erdogan2025.txt,data\original\erdogan\erdogan2025.txt,en,en,utf-8,1206,7354,48,1473,14,0,105.2,2025-12-31,inferred_from_text,new_year_message,,New Year message 2025/26,ok,Original: '2025'le vedalaşıyor ... 2026'ya merhaba'.,source,2025;2026,missing_metadata
macron,macron2022.txt,data\original\macron\macron2022.txt,en,en,utf-8,2945,17280,55,3421,27,0,126.7,2022-12-31,inferred_from_text,new_year_address,,Vœux aux Français 2023,ok,Original wishes 'vivre 2023'; PDF double-space artifacts are gone in the translation.,source,2017;2022;2023;2030,missing_metadata
macron,macron2023.txt,data\original\macron\macron2023.txt,en,en,utf-8,1933,11475,37,2377,19,0,125.1,2023-12-31,inferred_from_text,new_year_address,,Vœux aux Français 2024,ok,"Original: '2023 aura été marquée ...', closes with 'heureuse année 2024'.",source,2017;2023;2024;2027;2030,missing_metadata
macron,macron2024.txt,data\original\macron\macron2024.txt,en,en,utf-8,1606,9429,44,1959,16,0,122.4,2024-12-31,inferred_from_text,new_year_address,,Vœux aux Français 2025,ok,Original wishes 'année 2025'.,source,2000;2019;2024;2025,missing_metadata
macron,macron2025.txt,data\original\macron\macron2025.txt,en,en,utf-8,1451,8630,20,1708,13,1,131.4,2025-12-31,inferred_from_text,new_year_address,,Vœux aux Français 2026,ok,Original wishes 'année 2026'.,source,2022;2026;2027,missing_metadata
merkel,merkel1.txt,data\original\merkel\merkel1.txt,en,en,utf-8,987,5635,28,1149,10,0,114.9,2016-12-31,inferred_from_text,new_year_address,,Neujahrsansprache 2017,ok,Opens '2016 was a year of severe trials'.,source,2016;2017,missing_metadata
merkel,merkel2.txt,data\original\merkel\merkel2.txt,en,en,utf-8,868,5033,27,1011,10,0,101.1,2017-12-31,inferred_from_text,new_year_address,,Neujahrsansprache 2018,ok,Original closes with 'Gottes Segen für das neue Jahr 2018'.,source,2018,missing_metadata
merkel,merkel2020.txt,data\original\merkel\merkel2020.txt,en,en,utf-8,936,5460,17,1094,9,0,121.6,2019-12-31,inferred_from_text,new_year_address,,Neujahrsansprache 2020,ok,"Delivered 31 Dec 2019 (wishes 'neues Jahr 2020'); filename year is the target year, not the delivery year.",source,2020,filename_year_vs_speech_date;missing_metadata
merkel,merkel3.txt,data\original\merkel\merkel3.txt,en,en,utf-8,881,5199,21,1004,9,0,111.6,2018-12-31,inferred_from_text,new_year_address,,Neujahrsansprache 2019,ok,Original closes with 'gesegnetes neues Jahr 2019'.,source,2019,missing_metadata
putin,putin2022.txt,data\original\putin\putin2022.txt,en,en,utf-8,1123,6744,31,1337,11,0,121.5,2022-12-31,inferred_from_text,new_year_address,,New Year address 2023,ok,Opens 'The year 2022 is drawing to a close'. Speaker label prefix; its first letter is missing ('resident of Russia').,source,2014;2022;2023,missing_metadata;truncated_start
putin,putin2023.txt,data\original\putin\putin2023.txt,en,en,utf-8,496,2817,17,589,6,0,98.2,2023-12-31,inferred_from_text,new_year_address,,New Year address 2024,ok,'We are bidding farewell to 2023 ... Happy 2024!'. Speaker label prefix present.,source,2023;2024,missing_metadata;speaker_label_prefix
putin,putin2024.txt,data\original\putin\putin2024.txt,en,en,utf-8,435,2638,12,536,5,0,107.2,2024-12-31,inferred_from_text,new_year_address,,New Year address 2025,ok,'the year 2025 will begin ... Happy 2025!'. Speaker label prefix present.,source,2025,missing_metadata;speaker_label_prefix
putin,putin2025.txt,data\original\putin\putin2025.txt,en,en,utf-8,463,2592,15,558,5,0,111.6,2025-12-31,inferred_from_text,new_year_address,,New Year address 2026,ok,Ends 'Happy 2026!'. Speaker label prefix present.,source,2026,missing_metadata;speaker_label_prefix
trump,trump1.txt,data\original\trump\trump1.txt,en,en,utf-8,2782,16070,57,3269,28,0,116.8,2021-01-19,inferred_from_text,farewell_address,,Farewell address,ok,"Opens 'My fellow Americans: Four years ago, we launched a great national effort to rebuild our country'.",source,,missing_metadata;mixed_speech_types
