cosine_similarity,chunk_a,leader_a,chunk_b,leader_b,excerpt_a,excerpt_b
0.78062713,erdogan2022_c016,erdogan,macron2022_c002,macron,"Yani, yeni başlıyoruz.  Amacımız, bu başlangıcı en iyi ve etkin şekilde yaparak, gençlerimize Türkiye Yüzyılını, hedeflerimize, hayallerimize, medeniyet ve tarih mirasımıza uygun şekilde başarıya ulaş","Si nous cédions à l’esprit de division qui nous presse de toute part, nous n’aurions à peu près aucune chance de nous en sortir, dans un monde si rude, dans des temps si durs. Alors je nous souhaite d"
0.7739166,erdogan2023_c000,erdogan,macron2022_c002,macron,"Hepinizi en kalbi duygularımla, muhabbetle selamlıyorum.  Bu gece 2023 yılını tamamlıyor, 2024 yılına adım atıyoruz.  Yeni takvim yılının, ülkemiz, milletimiz ve tüm insanlık için hayırlara vesile olm","Si nous cédions à l’esprit de division qui nous presse de toute part, nous n’aurions à peu près aucune chance de nous en sortir, dans un monde si rude, dans des temps si durs. Alors je nous souhaite d"
0.7547159,macron2024_c020,macron,merkel2020_c000,merkel,"Nous y sommes. C’est pourquoi, en 2025, nous tiendrons le cap.  Nous sommes à un quart de siècle. Une partie des promesses de l’an 2000 ont été tenues mais tant de désordres, de déséquilibres sont app","heute Abend stehen wir nicht nur am Beginn eines neuen Jahres, sondern auch eines neuen Jahrzehnts. Ich bin überzeugt: Wir haben gute Gründe, zuversichtlich zu sein, dass die in wenigen Stunden beginn"
0.7523641,macron2023_c000,macron,putin2022_c005,putin,"En vous présentant mes vœux, je veux commencer par exprimer notre gratitude à tous pour nos compatriotes qui, ce soir encore, protègent, soignent, aident, assurent la continuité de la vie de la Nation","Comrades,  thank you for your valiant service. Our entire vast country is proud of your fortitude, endurance and courage. Millions of people are with you in their hearts and souls, and will be raising"
0.7504857,erdogan2024_c015,erdogan,macron2023_c000,macron,"Rabbim bizleri hizmetkarı olmaktan şeref duyduğumuz aziz milletimize ve umudunu Türkiye’ye bağlamış yüz milyonlarca mazluma mahcup etmesin diyorum.  Bu temennilerle yeni takvim yılının ülkemiz, millet","En vous présentant mes vœux, je veux commencer par exprimer notre gratitude à tous pour nos compatriotes qui, ce soir encore, protègent, soignent, aident, assurent la continuité de la vie de la Nation"
0.7501788,macron2022_c031,macron,putin2022_c005,putin,"Mes chers compatriotes,  Je veux ici et ce soir en votre nom dire à nos amis Ukrainiens : nous vous respectons et nous vous admirons. Votre combat pour la défense de votre nation est héroïque et il no","Comrades,  thank you for your valiant service. Our entire vast country is proud of your fortitude, endurance and courage. Millions of people are with you in their hearts and souls, and will be raising"
0.74688834,erdogan2022_c016,erdogan,macron2022_c008,macron,"Yani, yeni başlıyoruz.  Amacımız, bu başlangıcı en iyi ve etkin şekilde yaparak, gençlerimize Türkiye Yüzyılını, hedeflerimize, hayallerimize, medeniyet ve tarih mirasımıza uygun şekilde başarıya ulaş","2022 fut aussi une fois encore une année de rayonnement artistique, culturel, sportif de notre pays, avec deux Prix Nobel, et tant de grands moments de création et de sport. De tout cela, de tout ce q"
0.74390817,erdogan2024_c000,erdogan,macron2022_c002,macron,"Hepinizi en kalbi duygularımla, muhabbetle selamlıyorum.  Bugün 2024’e veda ediyor; yeni umut, beklenti ve hayallerle 2025 senesini karşılıyoruz.  Öncelikle yeni miladi yılın ülkemiz, milletimiz, gönü","Si nous cédions à l’esprit de division qui nous presse de toute part, nous n’aurions à peu près aucune chance de nous en sortir, dans un monde si rude, dans des temps si durs. Alors je nous souhaite d"
0.7428641,erdogan2023_c018,erdogan,macron2023_c010,macron,"Evet, 2023 hedefleri başlangıçtı; asıl çıkışımızı Türkiye Yüzyılıyla, 2024’le birlikte başlatıyoruz.  Bu mücadeleyi de, sizlerin desteğiyle zafere ulaştıracağımıza yürekten inanıyoruz.  Bu duygularla ","Alors je sais bien sûr les impatiences, oserais-je dire que je le partage, même si les premiers changements sont visibles. Je sais que vous voudriez que nous fassions plus et plus vite. Et c’est pour "
0.74132836,macron2022_c031,macron,putin2025_c003,putin,"Mes chers compatriotes,  Je veux ici et ce soir en votre nom dire à nos amis Ukrainiens : nous vous respectons et nous vous admirons. Votre combat pour la défense de votre nation est héroïque et il no","You have taken upon yourselves the duty of fighting for our native land, for truth and for justice. On this New Year’s Eve, millions of people across Russia, I assure you, are with you: they think of "
