leader,filename,relative_path,language_expected,language_detected,encoding,word_count,char_count,paragraph_count,token_count,estimated_chunk_count,short_chunks,mean_chunk_tokens,speech_date,date_confidence,speech_type,source,title,review_status,notes,missing_metadata,years_in_text,flags
erdogan,erdogan1.txt,data\original\erdogan\erdogan1.txt,tr,tr,utf-8,574,4407,25,1360,13,1,104.6,,unknown,symposium_speech,,SETA symposium speech on the presidential system,verify,"Not a New Year message: a speech at a SETA symposium held 'on the eve of the historic decision' on the presidential system (likely early 2017, before the April 2017 referendum). Text looks like an automatic speech-to-text transcript (e.g. '200 yü yılda', 'odaklanacak lardır'). Confirm date/source and whether to keep a different speech type in the corpus.",speech_date;source,1950;2007,missing_metadata;review:verify;speech_type_outlier
erdogan,erdogan2022.txt,data\original\erdogan\erdogan2022.txt,tr,tr,utf-8,684,5544,52,1905,18,0,105.8,2022-12-31,inferred_from_text,new_year_message,,New Year message 2022/23,ok,Text: 'geride bıraktığımız 2022'yi uğurluyor ... 2023'te'.,source,2011;2013;2016;2018;2019;2021;2022;2023,missing_metadata
erdogan,erdogan2023.txt,data\original\erdogan\erdogan2023.txt,tr,tr,utf-8,689,5790,50,1915,19,0,100.8,2023-12-31,inferred_from_text,new_year_message,,New Year message 2023/24,ok,Text refers to the night 2023 ends.,source,2023;2024,missing_metadata
erdogan,erdogan2024.txt,data\original\erdogan\erdogan2024.txt,tr,tr,utf-8,578,4651,41,1612,16,0,100.8,2024-12-31,inferred_from_text,new_year_message,,New Year message 2024/25,ok,Text: 'Bugün 2024'e veda'.,source,1967;2024;2025,missing_metadata
erdogan,erdogan2025.txt,data\original\erdogan\erdogan2025.txt,tr,tr,utf-8,726,5844,45,1978,19,0,104.1,2025-12-31,inferred_from_text,new_year_message,,New Year message 2025/26,ok,Text: '2025'le vedalaşıyor ... 2026'ya merhaba'.,source,2025;2026,missing_metadata
macron,macron2022.txt,data\original\macron\macron2022.txt,fr,fr,utf-8,2811,17517,50,4720,35,2,134.9,2022-12-31,inferred_from_text,new_year_address,,Vœux aux Français 2023,ok,Text wishes 'vivre 2023'. Contains PDF copy artifacts (runs of double spaces).,source,2017;2022;2023;2030,excess_whitespace;missing_metadata
macron,macron2023.txt,data\original\macron\macron2023.txt,fr,fr,utf-8,1824,11355,33,3121,25,0,124.8,2023-12-31,inferred_from_text,new_year_address,,Vœux aux Français 2024,ok,"Text: '2023 aura été marquée ...', closes with 'heureuse année 2024'.",source,2017;2023;2024;2027;2030,missing_metadata
macron,macron2024.txt,data\original\macron\macron2024.txt,fr,fr,utf-8,1495,9343,43,2516,22,0,114.4,2024-12-31,inferred_from_text,new_year_address,,Vœux aux Français 2025,ok,Text wishes 'année 2025'.,source,2000;2019;2024;2025,missing_metadata
macron,macron2025.txt,data\original\macron\macron2025.txt,fr,fr,utf-8,1372,8554,20,2323,17,2,136.6,2025-12-31,inferred_from_text,new_year_address,,Vœux aux Français 2026,ok,Text wishes 'année 2026'.,source,2022;2026;2027,missing_metadata
merkel,merkel1.txt,data\original\merkel\merkel1.txt,de,de,utf-8,870,5707,28,1483,12,0,123.6,2016-12-31,inferred_from_text,new_year_address,,Neujahrsansprache 2017,ok,Opens '2016 war ein Jahr schwerer Prüfungen'.,source,2016;2017,missing_metadata
merkel,merkel2.txt,data\original\merkel\merkel2.txt,de,de,utf-8,803,5273,19,1332,11,0,121.1,2017-12-31,inferred_from_text,new_year_address,,Neujahrsansprache 2018,ok,Closes with 'Gottes Segen für das neue Jahr 2018'.,source,2018,missing_metadata
