cosine_similarity,chunk_a,leader_a,chunk_b,leader_b,excerpt_a,excerpt_b
0.778744,erdogan2025_c000,erdogan,putin2024_c003,putin,"My Dear Nation,  I greet you all with my most heartfelt feelings, with affection and respect.  Today, we bid farewell to 2025 and prepare to say “hello” to 2026 with renewed excitement, new hopes, and","Friends,  New Year’s Eve always holds a special place in our hearts, filling us with warmth and hope that our dreams, aspirations, and best intentions will come to fruition. As the countdown to the Ne"
0.7573198,erdogan2024_c000,erdogan,putin2024_c003,putin,"My Beloved Nation,  I greet you all with my heartfelt feelings and affection.  Today, we bid farewell to 2024 and welcome the year 2025 with new hopes, expectations, and dreams.  First and foremost, I","Friends,  New Year’s Eve always holds a special place in our hearts, filling us with warmth and hope that our dreams, aspirations, and best intentions will come to fruition. As the countdown to the Ne"
0.74263066,erdogan2025_c000,erdogan,putin2025_c004,putin,"My Dear Nation,  I greet you all with my most heartfelt feelings, with affection and respect.  Today, we bid farewell to 2025 and prepare to say “hello” to 2026 with renewed excitement, new hopes, and","Friends,  In just a few moments, we will hear the chimes of the Kremlin clock, and the New Year will begin. We welcome it together with the nearest and dearest: our children, parents, friends, and com"
0.72832817,erdogan2023_c000,erdogan,putin2024_c003,putin,"My Dear Nation,  I greet each and every one of you with my most heartfelt feelings and affection.  Tonight, we are bringing the year 2023 to a close and stepping into 2024.  I wish for the new calenda","Friends,  New Year’s Eve always holds a special place in our hearts, filling us with warmth and hope that our dreams, aspirations, and best intentions will come to fruition. As the countdown to the Ne"
0.7034961,erdogan2024_c001,erdogan,putin2024_c002,putin,"I remember with mercy all our martyrs who laid down their lives for our independence and our future over the past year, and I express my gratitude to our veterans.  As a nation, God willing, we will f","As we welcome the New Year, the thoughts and hopes of families and friends, of millions of people across Russia are with our soldiers and commanders. You are the true heroes who undertook a great task"
0.6855486,erdogan2025_c013,erdogan,macron2024_c015,macron,"Just as we have done for the past 23 years, with nothing but love for our nation and our homeland in our hearts, we will continue to serve all 86 million of our citizens and work selflessly for the pr","That is why, in 2025, we will continue to make decisions, and I will also ask you to decide on some of these decisive issues. Because each and every one of you will have a role to play. Each and every"
0.68517256,erdogan2023_c000,erdogan,putin2022_c010,putin,"My Dear Nation,  I greet each and every one of you with my most heartfelt feelings and affection.  Tonight, we are bringing the year 2023 to a close and stepping into 2024.  I wish for the new calenda","As we see the New Year in, everyone strives to give joy to their loved ones, to show them attention and warmth, to give them presents they have been dreaming of, to see the delight in children’s eyes "
0.6847287,macron2022_c000,macron,merkel2020_c008,merkel,"My dear fellow citizens,  For the sixth time, I have the privilege of sharing this moment of New Year’s wishes with you.  With you, the officers and soldiers of our armed forces who protect us; with y","Our security and prosperity depend to a significant extent on security and economic progress in our neighbourhood as well. That is why this evening I would like to thank our soldiers, our police offic"
0.68448216,macron2023_c000,macron,putin2022_c010,putin,"French women and men, in metropolitan France, in our overseas territories and abroad,  As I extend my best wishes to you, I want to begin by expressing our gratitude to all those among our fellow citi","As we see the New Year in, everyone strives to give joy to their loved ones, to show them attention and warmth, to give them presents they have been dreaming of, to see the delight in children’s eyes "
0.68446356,macron2022_c002,macron,putin2022_c010,putin,"If we were to give in to the spirit of division that presses upon us from every side, we would have virtually no chance of overcoming the challenges before us in such a harsh world and in such difficu","As we see the New Year in, everyone strives to give joy to their loved ones, to show them attention and warmth, to give them presents they have been dreaming of, to see the delight in children’s eyes "
0.6831857,erdogan2024_c011,erdogan,macron2023_c000,macron,"May Almighty God be our guide and helper.  May Almighty God never let us fall short before our beloved nation, whom we are honored to serve, or before the hundreds of millions of oppressed people who ","French women and men, in metropolitan France, in our overseas territories and abroad,  As I extend my best wishes to you, I want to begin by expressing our gratitude to all those among our fellow citi"
0.6813611,macron2023_c000,macron,merkel2020_c008,merkel,"French women and men, in metropolitan France, in our overseas territories and abroad,  As I extend my best wishes to you, I want to begin by expressing our gratitude to all those among our fellow citi","Our security and prosperity depend to a significant extent on security and economic progress in our neighbourhood as well. That is why this evening I would like to thank our soldiers, our police offic"
0.67969984,macron2022_c000,macron,putin2025_c003,putin,"My dear fellow citizens,  For the sixth time, I have the privilege of sharing this moment of New Year’s wishes with you.  With you, the officers and soldiers of our armed forces who protect us; with y","You have taken upon yourselves the duty of fighting for our native land, for truth and for justice. On this New Year’s Eve, millions of people across Russia, I assure you, are with you: they think of "
0.6787873,erdogan2023_c013,erdogan,macron2024_c015,macron,"Yes, the 2023 goals were only the beginning; our real rise begins with the Century of Türkiye and with 2024.  We sincerely believe that, with your support, we will bring this struggle to victory as we","That is why, in 2025, we will continue to make decisions, and I will also ask you to decide on some of these decisive issues. Because each and every one of you will have a role to play. Each and every"
0.6786226,erdogan2024_c011,erdogan,macron2022_c000,macron,"May Almighty God be our guide and helper.  May Almighty God never let us fall short before our beloved nation, whom we are honored to serve, or before the hundreds of millions of oppressed people who ","My dear fellow citizens,  For the sixth time, I have the privilege of sharing this moment of New Year’s wishes with you.  With you, the officers and soldiers of our armed forces who protect us; with y"
0.6763021,erdogan2024_c000,erdogan,putin2025_c004,putin,"My Beloved Nation,  I greet you all with my heartfelt feelings and affection.  Today, we bid farewell to 2024 and welcome the year 2025 with new hopes, expectations, and dreams.  First and foremost, I","Friends,  In just a few moments, we will hear the chimes of the Kremlin clock, and the New Year will begin. We welcome it together with the nearest and dearest: our children, parents, friends, and com"
0.6756387,erdogan2024_c011,erdogan,merkel2020_c008,merkel,"May Almighty God be our guide and helper.  May Almighty God never let us fall short before our beloved nation, whom we are honored to serve, or before the hundreds of millions of oppressed people who ","Our security and prosperity depend to a significant extent on security and economic progress in our neighbourhood as well. That is why this evening I would like to thank our soldiers, our police offic"
0.6750422,merkel2020_c000,merkel,putin2025_c000,putin,"Dear fellow citizens,  This evening, we stand not only at the beginning of a new year, but also at the beginning of a new decade. I am convinced that we have good reason to be confident that the 2020s","Citizens of Russia, friends,  At this moment, as we stand on the threshold of the New Year, we all feel the passage of time. Before us lies the future, and what it holds largely depends on us.  We dra"
0.6746162,macron2022_c000,macron,putin2025_c000,putin,"My dear fellow citizens,  For the sixth time, I have the privilege of sharing this moment of New Year’s wishes with you.  With you, the officers and soldiers of our armed forces who protect us; with y","Citizens of Russia, friends,  At this moment, as we stand on the threshold of the New Year, we all feel the passage of time. Before us lies the future, and what it holds largely depends on us.  We dra"
0.6728484,macron2022_c012,macron,trump3_c000,trump,"Throughout the long history of our nation, there have been generations called upon to resist, others called upon to rebuild, and still others called upon to expand the prosperity that had been achieve","Chief Justice Roberts, President Carter, President Clinton, President Bush, President Obama, fellow Americans, and people of the world, thank you.  We, the citizens of America, are now joined in a gre"
0.6699393,macron2025_c005,macron,merkel3_c006,merkel,"This will also require everyone’s mobilisation and the efforts of all.  This year, municipal elections will also be held in our towns and communities. And tonight I want once again to express to all o","In May, by taking part in the European elections, you can help ensure that the European Union continues to be a project of peace, prosperity and security in the future.  Dear fellow citizens, prosperi"
0.6675869,erdogan2024_c001,erdogan,macron2024_c015,macron,"I remember with mercy all our martyrs who laid down their lives for our independence and our future over the past year, and I express my gratitude to our veterans.  As a nation, God willing, we will f","That is why, in 2025, we will continue to make decisions, and I will also ask you to decide on some of these decisive issues. Because each and every one of you will have a role to play. Each and every"
0.6669651,erdogan2024_c000,erdogan,putin2022_c010,putin,"My Beloved Nation,  I greet you all with my heartfelt feelings and affection.  Today, we bid farewell to 2024 and welcome the year 2025 with new hopes, expectations, and dreams.  First and foremost, I","As we see the New Year in, everyone strives to give joy to their loved ones, to show them attention and warmth, to give them presents they have been dreaming of, to see the delight in children’s eyes "
0.6669343,macron2024_c015,macron,putin2024_c003,putin,"That is why, in 2025, we will continue to make decisions, and I will also ask you to decide on some of these decisive issues. Because each and every one of you will have a role to play. Each and every","Friends,  New Year’s Eve always holds a special place in our hearts, filling us with warmth and hope that our dreams, aspirations, and best intentions will come to fruition. As the countdown to the Ne"
0.66674453,merkel2020_c000,merkel,putin2024_c000,putin,"Dear fellow citizens,  This evening, we stand not only at the beginning of a new year, but also at the beginning of a new decade. I am convinced that we have good reason to be confident that the 2020s","Citizens of Russia, friends,  In just a few minutes, the year 2025 will begin, marking the completion of the first quarter of the 21st century.  For Russia, this period has been marked by numerous eve"
0.66673195,macron2023_c000,macron,putin2022_c009,putin,"French women and men, in metropolitan France, in our overseas territories and abroad,  As I extend my best wishes to you, I want to begin by expressing our gratitude to all those among our fellow citi","With all my heart, I share your pain and ask you to accept my sincere words of support.  Friends,  Our country has always celebrated the start of the New Year, even during very difficult times. It has"
0.6647436,erdogan2025_c013,erdogan,macron2025_c012,macron,"Just as we have done for the past 23 years, with nothing but love for our nation and our homeland in our hearts, we will continue to serve all 86 million of our citizens and work selflessly for the pr","Let us not give up on reconciling the climate, biodiversity, growth, and independence. Let us not give up on major scientific discoveries, on our love of science and research, or on economic success. "
0.66464144,erdogan2024_c011,erdogan,putin2022_c009,putin,"May Almighty God be our guide and helper.  May Almighty God never let us fall short before our beloved nation, whom we are honored to serve, or before the hundreds of millions of oppressed people who ","With all my heart, I share your pain and ask you to accept my sincere words of support.  Friends,  Our country has always celebrated the start of the New Year, even during very difficult times. It has"
0.66410977,macron2025_c000,macron,merkel3_c006,merkel,"French women and men, my dear compatriots,  On this evening of December 31, my thoughts go first and foremost to those who ensure the continuity of the Nation: the security forces, firefighters, volun","In May, by taking part in the European elections, you can help ensure that the European Union continues to be a project of peace, prosperity and security in the future.  Dear fellow citizens, prosperi"
