cosine_similarity,chunk_a,leader_a,chunk_b,leader_b,excerpt_a,excerpt_b
0.78385425,erdogan2022_c017,erdogan,macron2022_c002,macron,"Yani, yeni başlıyoruz.  Amacımız, bu başlangıcı en iyi ve etkin şekilde yaparak, gençlerimize Türkiye Yüzyılını, hedeflerimize, hayallerimize, medeniyet ve tarih mirasımıza uygun şekilde başarıya ulaş","Si nous cédions à l’esprit de division qui nous presse de toute part, nous n’aurions à peu près aucune chance de nous en sortir, dans un monde si rude, dans des temps si durs. Alors je nous souhaite d"
0.77618575,macron2022_c034,macron,merkel1_c011,merkel,"Ensemble, nous allons réussir.  Et c’est fort de cette confiance que je vous présente tous mes vœux pour cette année nouvelle.  Vive la République.  Vive la France.","Dafür braucht es einen offenen Blick auf die Welt und Selbstvertrauen – in uns und unser Land.  Zusammenhalt, Offenheit, unsere Demokratie und eine starke Wirtschaft, die dem Wohl aller dient: Das ist"
0.7701294,erdogan2025_c018,erdogan,macron2025_c016,macron,"Rabbim yar ve yardımcımız olsun, diyorum.  Türkiye Yüzyılı ülkümüze destek olan herkese teşekkür ediyorum.  Bu düşüncelerle yeni miladi yılınızı tebrik ediyor; 2026’nın ülkemiz, milletimiz, bölgemiz v","Mes chers compatriotes de France hexagonale, de nos Outre-mer et vivants à l'étranger, je vous souhaite une très belle, une très heureuse année 2026.  Vive la République ! Vive la France !"
0.7688844,erdogan2025_c018,erdogan,macron2022_c034,macron,"Rabbim yar ve yardımcımız olsun, diyorum.  Türkiye Yüzyılı ülkümüze destek olan herkese teşekkür ediyorum.  Bu düşüncelerle yeni miladi yılınızı tebrik ediyor; 2026’nın ülkemiz, milletimiz, bölgemiz v","Ensemble, nous allons réussir.  Et c’est fort de cette confiance que je vous présente tous mes vœux pour cette année nouvelle.  Vive la République.  Vive la France."
0.7645851,erdogan2022_c017,erdogan,merkel2020_c011,merkel,"Yani, yeni başlıyoruz.  Amacımız, bu başlangıcı en iyi ve etkin şekilde yaparak, gençlerimize Türkiye Yüzyılını, hedeflerimize, hayallerimize, medeniyet ve tarih mirasımıza uygun şekilde başarıya ulaş","Ein neues Jahrzehnt liegt vor uns. Die 20er Jahre können gute Jahre werden. Überraschen wir uns einmal mehr damit, was wir können. Veränderungen zum Guten sind möglich, wenn wir uns offen und entschlo"
0.76182055,erdogan2022_c000,erdogan,macron2022_c034,macron,"Aziz Milletim,  Hepinizi en kalbi duygularımla, muhabbetle selamlıyorum.  Bugün sadece bir yılı bitirip, yeni bir yılı karşılamakla kalmıyor, aynı zamanda Cumhuriyetimizin ilk yüzyılını geride bırakıp","Ensemble, nous allons réussir.  Et c’est fort de cette confiance que je vous présente tous mes vœux pour cette année nouvelle.  Vive la République.  Vive la France."
0.7596401,erdogan2022_c017,erdogan,putin2024_c003,putin,"Yani, yeni başlıyoruz.  Amacımız, bu başlangıcı en iyi ve etkin şekilde yaparak, gençlerimize Türkiye Yüzyılını, hedeflerimize, hayallerimize, medeniyet ve tarih mirasımıza uygun şekilde başarıya ulaş","Friends,  New Year’s Eve always holds a special place in our hearts, filling us with warmth and hope that our dreams, aspirations, and best intentions will come to fruition. As the countdown to the Ne"
0.7545377,erdogan2024_c015,erdogan,macron2022_c034,macron,"Rabbim bizleri hizmetkarı olmaktan şeref duyduğumuz aziz milletimize ve umudunu Türkiye’ye bağlamış yüz milyonlarca mazluma mahcup etmesin diyorum.  Bu temennilerle yeni takvim yılının ülkemiz, millet","Ensemble, nous allons réussir.  Et c’est fort de cette confiance que je vous présente tous mes vœux pour cette année nouvelle.  Vive la République.  Vive la France."
0.7537462,erdogan2022_c017,erdogan,macron2023_c024,macron,"Yani, yeni başlıyoruz.  Amacımız, bu başlangıcı en iyi ve etkin şekilde yaparak, gençlerimize Türkiye Yüzyılını, hedeflerimize, hayallerimize, medeniyet ve tarih mirasımıza uygun şekilde başarıya ulaş","Et notre Histoire toute entière nous enseigne que la volonté de quelques-uns peut abattre toutes les fatalités. Alors à nous de faire, oui, d’agir ensemble, de continuer de dépasser les clivages, les "
0.7522175,erdogan2022_c017,erdogan,merkel2_c010,merkel,"Yani, yeni başlıyoruz.  Amacımız, bu başlangıcı en iyi ve etkin şekilde yaparak, gençlerimize Türkiye Yüzyılını, hedeflerimize, hayallerimize, medeniyet ve tarih mirasımıza uygun şekilde başarıya ulaş","Dass wir uns wieder stärker bewusst werden, was uns im Innersten zusammenhält, dass wir wieder deutlicher das Gemeinsame in den Vordergrund stellen, dass wir uns bemühen, wieder mehr Achtung vor dem a"
0.75125533,macron2023_c024,macron,merkel1_c011,merkel,"Et notre Histoire toute entière nous enseigne que la volonté de quelques-uns peut abattre toutes les fatalités. Alors à nous de faire, oui, d’agir ensemble, de continuer de dépasser les clivages, les ","Dafür braucht es einen offenen Blick auf die Welt und Selbstvertrauen – in uns und unser Land.  Zusammenhalt, Offenheit, unsere Demokratie und eine starke Wirtschaft, die dem Wohl aller dient: Das ist"
0.7501788,macron2022_c031,macron,putin2022_c005,putin,"Mes chers compatriotes,  Je veux ici et ce soir en votre nom dire à nos amis Ukrainiens : nous vous respectons et nous vous admirons. Votre combat pour la défense de votre nation est héroïque et il no","Comrades,  thank you for your valiant service. Our entire vast country is proud of your fortitude, endurance and courage. Millions of people are with you in their hearts and souls, and will be raising"
0.7501042,macron2024_c020,macron,merkel2020_c000,merkel,"Nous y sommes. C’est pourquoi, en 2025, nous tiendrons le cap.  Nous sommes à un quart de siècle. Une partie des promesses de l’an 2000 ont été tenues mais tant de désordres, de déséquilibres sont app","Liebe Mitbürgerinnen und Mitbürger,  heute Abend stehen wir nicht nur am Beginn eines neuen Jahres, sondern auch eines neuen Jahrzehnts. Ich bin überzeugt: Wir haben gute Gründe, zuversichtlich zu sei"
