check,comparison,metric,value,material_change,note
A,kalm_embedding_gemma3_12b vs qwen3_embedding_8b,leader_pair_similarity_spearman,0.8303,False,10 leader pairs
A,kalm_embedding_gemma3_12b vs qwen3_embedding_8b,leader_pair_similarity_pearson,0.9172,False,10 leader pairs
A,kalm_embedding_gemma3_12b vs qwen3_embedding_8b,most_similar_pair,macron–merkel | macron–merkel,False,A | B
A,kalm_embedding_gemma3_12b vs qwen3_embedding_8b,least_similar_pair,putin–trump | putin–trump,False,A | B
A,kalm_embedding_gemma3_12b vs qwen3_embedding_8b,mean_offdiagonal_similarity,0.758 | 0.799,False,A | B
A,kalm_embedding_gemma3_12b vs qwen3_embedding_8b,theme_profile_spearman_erdogan,0.8571,False,8 themes
A,kalm_embedding_gemma3_12b vs qwen3_embedding_8b,theme_top3_overlap_erdogan,2.0,False,of 3
A,kalm_embedding_gemma3_12b vs qwen3_embedding_8b,theme_profile_spearman_macron,0.619,False,8 themes
A,kalm_embedding_gemma3_12b vs qwen3_embedding_8b,theme_top3_overlap_macron,2.0,False,of 3
A,kalm_embedding_gemma3_12b vs qwen3_embedding_8b,theme_profile_spearman_merkel,0.8571,False,8 themes
A,kalm_embedding_gemma3_12b vs qwen3_embedding_8b,theme_top3_overlap_merkel,3.0,False,of 3
A,kalm_embedding_gemma3_12b vs qwen3_embedding_8b,theme_profile_spearman_putin,0.9048,False,8 themes
A,kalm_embedding_gemma3_12b vs qwen3_embedding_8b,theme_top3_overlap_putin,3.0,False,of 3
A,kalm_embedding_gemma3_12b vs qwen3_embedding_8b,theme_profile_spearman_trump,0.9524,False,8 themes
A,kalm_embedding_gemma3_12b vs qwen3_embedding_8b,theme_top3_overlap_trump,3.0,False,of 3
A,kalm_embedding_gemma3_12b vs qwen3_embedding_8b,framing_leader_order_spearman_conflict_threat_framing,0.9,False,5 leaders
A,kalm_embedding_gemma3_12b vs qwen3_embedding_8b,framing_leader_order_spearman_cooperation_solidarity_framing,0.6,False,5 leaders
A,kalm_embedding_gemma3_12b vs qwen3_embedding_8b,framing_leader_order_spearman_past_orientation,0.9,False,5 leaders
A,kalm_embedding_gemma3_12b vs qwen3_embedding_8b,framing_leader_order_spearman_future_orientation,0.6,False,5 leaders
A,kalm_embedding_gemma3_12b vs qwen3_embedding_8b,framing_leader_order_spearman_us_vs_them,0.9,False,5 leaders
A,kalm_embedding_gemma3_12b vs qwen3_embedding_8b,framing_leader_order_spearman_gratitude_recognition,0.9,False,5 leaders
