check,comparison,metric,value,material_change,note
A,qwen3_embedding_8b vs bge_m3,leader_pair_similarity_spearman,-0.3697,True,10 leader pairs
A,qwen3_embedding_8b vs bge_m3,leader_pair_similarity_pearson,-0.3638,False,10 leader pairs
A,qwen3_embedding_8b vs bge_m3,most_similar_pair,putin–trump | macron–merkel,True,A | B
A,qwen3_embedding_8b vs bge_m3,least_similar_pair,erdogan–macron | putin–trump,True,A | B
A,qwen3_embedding_8b vs bge_m3,mean_offdiagonal_similarity,0.645 | 0.880,False,A | B
A,qwen3_embedding_8b vs bge_m3,theme_profile_spearman_erdogan,0.6667,False,8 themes
A,qwen3_embedding_8b vs bge_m3,theme_top3_overlap_erdogan,2.0,False,of 3
A,qwen3_embedding_8b vs bge_m3,theme_profile_spearman_macron,0.4048,True,8 themes
A,qwen3_embedding_8b vs bge_m3,theme_top3_overlap_macron,2.0,False,of 3
A,qwen3_embedding_8b vs bge_m3,theme_profile_spearman_merkel,0.1905,True,8 themes
A,qwen3_embedding_8b vs bge_m3,theme_top3_overlap_merkel,1.0,False,of 3
A,qwen3_embedding_8b vs bge_m3,theme_profile_spearman_putin,0.8095,False,8 themes
A,qwen3_embedding_8b vs bge_m3,theme_top3_overlap_putin,3.0,False,of 3
A,qwen3_embedding_8b vs bge_m3,theme_profile_spearman_trump,0.7143,False,8 themes
A,qwen3_embedding_8b vs bge_m3,theme_top3_overlap_trump,2.0,False,of 3
A,qwen3_embedding_8b vs bge_m3,framing_leader_order_spearman_conflict_threat_framing,-0.8,True,5 leaders
A,qwen3_embedding_8b vs bge_m3,framing_leader_order_spearman_cooperation_solidarity_framing,0.2,True,5 leaders
A,qwen3_embedding_8b vs bge_m3,dispersion_speech_to_leader_spearman,0.7,False,5 leaders
A,qwen3_embedding_8b vs bge_m3,knn_same_leader_share_erdogan,0.995 | 0.473,False,A | B
A,qwen3_embedding_8b vs bge_m3,knn_same_leader_share_macron,0.958 | 0.664,False,A | B
A,qwen3_embedding_8b vs bge_m3,knn_same_leader_share_merkel,0.689 | 0.517,False,A | B
A,qwen3_embedding_8b vs bge_m3,knn_same_leader_share_putin,0.919 | 0.827,False,A | B
A,qwen3_embedding_8b vs bge_m3,knn_same_leader_share_trump,0.867 | 0.660,False,A | B
B,original vs translated_en,status,skipped,False,no translations available
C,qwen3_embedding_8b all content vs qwen3_embedding_8b ceremonial removed,leader_pair_similarity_spearman,0.9879,False,10 leader pairs
C,qwen3_embedding_8b all content vs qwen3_embedding_8b ceremonial removed,leader_pair_similarity_pearson,0.9896,False,10 leader pairs
C,qwen3_embedding_8b all content vs qwen3_embedding_8b ceremonial removed,most_similar_pair,putin–trump | putin–trump,False,A | B
C,qwen3_embedding_8b all content vs qwen3_embedding_8b ceremonial removed,least_similar_pair,erdogan–macron | erdogan–macron,False,A | B
C,qwen3_embedding_8b all content vs qwen3_embedding_8b ceremonial removed,mean_offdiagonal_similarity,0.645 | 0.649,False,A | B
C,qwen3_embedding_8b all content vs qwen3_embedding_8b ceremonial removed,theme_profile_spearman_erdogan,1.0,False,8 themes
C,qwen3_embedding_8b all content vs qwen3_embedding_8b ceremonial removed,theme_top3_overlap_erdogan,3.0,False,of 3
C,qwen3_embedding_8b all content vs qwen3_embedding_8b ceremonial removed,theme_profile_spearman_macron,1.0,False,8 themes
C,qwen3_embedding_8b all content vs qwen3_embedding_8b ceremonial removed,theme_top3_overlap_macron,3.0,False,of 3
C,qwen3_embedding_8b all content vs qwen3_embedding_8b ceremonial removed,theme_profile_spearman_merkel,0.9286,False,8 themes
C,qwen3_embedding_8b all content vs qwen3_embedding_8b ceremonial removed,theme_top3_overlap_merkel,2.0,False,of 3
C,qwen3_embedding_8b all content vs qwen3_embedding_8b ceremonial removed,theme_profile_spearman_putin,1.0,False,8 themes
C,qwen3_embedding_8b all content vs qwen3_embedding_8b ceremonial removed,theme_top3_overlap_putin,3.0,False,of 3
C,qwen3_embedding_8b all content vs qwen3_embedding_8b ceremonial removed,theme_profile_spearman_trump,0.9048,False,8 themes
C,qwen3_embedding_8b all content vs qwen3_embedding_8b ceremonial removed,theme_top3_overlap_trump,3.0,False,of 3
C,qwen3_embedding_8b all content vs qwen3_embedding_8b ceremonial removed,framing_leader_order_spearman_conflict_threat_framing,1.0,False,5 leaders
