cluster,rank,chunk_id,leader,speech_id,similarity_to_centroid,passage
-1,1,macron2023_c015,macron,macron2023,0.37743696570396423,"2024, année de la détermination, de l’efficacité des résultats. Et j’aurai l’occasion dans les semaines qui viennent de vous dire comment notre Nation relèvera ces défis. Mes chers compatriotes, l’action n’est pas une option. L’action est notre devoir pour les générations futures. Voilà pourquoi je serai inlassablement du côté de ceux qui agissent au service du pays et jamais de ceux qui, refusant"
-1,2,macron2024_c019,macron,macron2024,0.3419058918952942,"A nous donc, collectivement, de faire, car 2025 imposera l’audace et le sens des décisions.  Mes chers compatriotes, les grandes Nations sont celles qui, dans les moments de crise, de doute, savent voir loin, se détacher des polémiques du quotidien pour bâtir l’avenir et prendre un temps d’avance."
-1,3,putin2024_c001,putin,putin2024,0.3163394629955292,"Our nation – independent, free, and strong – has tackled successfully the most formidable challenges. As we stand on the brink of a new year, we think about the future. We are confident that everything is going to be all right. We will continue to advance. We know for sure that Russia’s destiny and well-being of its people has always been and will remain our absolute value.  Sincere love for our M"
-1,4,putin2022_c002,putin,putin2022,0.3103291392326355,"The outgoing year has brought great and dramatic changes to our country and to the world. It was filled with uncertainty, anxiety and worry.  But our multiethnic nation showed great courage and dignity as it had in every challenging period in Russian history, supported the defenders of our Fatherland, our soldiers and officers, and all participants in the special military operation, in both word a"
-1,5,erdogan2025_c016,erdogan,erdogan2025,0.3000619411468506,"Komisyonun, son düzlükte de uzlaşı ruhuyla hareket etmesi arzumuzdur.  Ülkemizi, 40 yıllık bir musibetten kurtarmayı hedefleyen bu süreç, gündelik siyasetin çıkar hesaplarına kurban edilmemelidir.  Biz de sürecin, bir yol kazası yaşanmadan menzil-i maksuduna varması için üzerimize ne düşüyorsa, yapmaktan geri durmayacağız."
-1,6,macron2023_c010,macron,macron2023,0.2966350018978119,"Alors je sais bien sûr les impatiences, oserais-je dire que je le partage, même si les premiers changements sont visibles. Je sais que vous voudriez que nous fassions plus et plus vite. Et c’est pour atteindre cet objectif que l’année 2024 doit avant tout être une année de détermination. Agir, agir encore, dans l’intérêt de la Nation."
-1,7,putin2022_c001,putin,putin2022,0.28875622153282166,"It was a year of truly pivotal, even fateful events. They became the frontier where we lay the foundation for our common future, our true independence.  This is what we are fighting for today, protecting our people in our historical territories in the new regions of the Russian Federation. Together, we are building and creating.  Russia’s future is what matters the most. Defending our Motherland i"
-1,8,erdogan2023_c012,erdogan,erdogan2023,0.2829940617084503,"Milletimiz, tarihinin hiçbir döneminde, kendi hedeflerine ulaşmak için bedel ödemekten, fedakârlık yapmaktan, elini taşın altına koymaktan çekinmedi.  Son 21 yılda yaşadığımız nice kritik hadise karşısında milletimizin sergilediği güçlü duruş, kararlılığın bugün de devam ettiğini gösteriyor."
-1,9,erdogan2024_c012,erdogan,erdogan2024,0.28013426065444946,"Her ikisi de Karadeniz’den komşumuz olan Rusya-Ukrayna arasındaki savaşın, adil bir barışla sona erdirilmesi önceliğimiz olmayı sürdürüyor.  Temennimiz, 2025 yılında kuzeyimizde de yeni bir dönemin başlamasıdır.  Sınırlarımız ötesinde bütün bu diplomatik hamleleri hayata geçirirken, ülkemiz içinde en önemli gündemimiz “iç cephemizin” tahkimatı olacaktır."
-1,10,putin2023_c001,putin,putin2023,0.27035486698150635,"And the main thing which has united us is the destiny of the Motherland. There is a deep understanding of the utmost importance of the historic period which Russia is going through, those ambitious goals which society is facing and the colossal responsibility for the Motherland which every one of us feels.  We are acutely and clearly aware of how much depends on us during this period, on our posit"
