leader,filename,language,original_language,text_is_translation,translation_note,speech_date,date_confidence,speech_type,source,title,review_status,notes
erdogan,erdogan1.txt,en,tr,true,"English translation supplied by the collector (2026-09-23); paragraph structure preserved (25 paragraphs)",,unknown,symposium_speech,,SETA symposium speech on the presidential system,verify,"Not a New Year message: a speech at a SETA symposium held 'on the eve of the historic decision' on the presidential system (likely early 2017). Source text looked like an automatic transcript; the translation smooths it. Confirm date/source."
erdogan,erdogan2022.txt,en,tr,true,"English translation supplied by the collector (2026-09-23); 52 paragraphs preserved",2022-12-31,inferred_from_text,new_year_message,,New Year message 2022/23,ok,"Original text: 'geride bıraktığımız 2022'yi uğurluyor ... 2023'te'."
erdogan,erdogan2023.txt,en,tr,true,"English translation supplied by the collector (2026-09-23); 50 paragraphs preserved",2023-12-31,inferred_from_text,new_year_message,,New Year message 2023/24,ok,"Original refers to the night 2023 ends."
erdogan,erdogan2024.txt,en,tr,true,"English translation supplied by the collector (2026-09-23); 41 paragraphs preserved",2024-12-31,inferred_from_text,new_year_message,,New Year message 2024/25,ok,"Original: 'Bugün 2024'e veda'."
erdogan,erdogan2025.txt,en,tr,true,"English translation supplied by the collector (2026-09-23); 45 → 48 paragraphs (translator split three)",2025-12-31,inferred_from_text,new_year_message,,New Year message 2025/26,ok,"Original: '2025'le vedalaşıyor ... 2026'ya merhaba'."
macron,macron2022.txt,en,fr,true,"English translation supplied by the collector (2026-09-23); 50 → 55 paragraphs",2022-12-31,inferred_from_text,new_year_address,,Vœux aux Français 2023,ok,"Original wishes 'vivre 2023'; PDF double-space artifacts are gone in the translation."
macron,macron2023.txt,en,fr,true,"English translation supplied by the collector (2026-09-23); 33 → 37 paragraphs",2023-12-31,inferred_from_text,new_year_address,,Vœux aux Français 2024,ok,"Original: '2023 aura été marquée ...', closes with 'heureuse année 2024'."
macron,macron2024.txt,en,fr,true,"English translation supplied by the collector (2026-09-23); 43 → 44 paragraphs",2024-12-31,inferred_from_text,new_year_address,,Vœux aux Français 2025,ok,"Original wishes 'année 2025'."
macron,macron2025.txt,en,fr,true,"English translation supplied by the collector (2026-09-23); 20 paragraphs preserved",2025-12-31,inferred_from_text,new_year_address,,Vœux aux Français 2026,ok,"Original wishes 'année 2026'."
merkel,merkel1.txt,en,de,true,"English translation supplied by the collector (2026-09-23); 28 paragraphs preserved",2016-12-31,inferred_from_text,new_year_address,,Neujahrsansprache 2017,ok,"Opens '2016 was a year of severe trials'."
merkel,merkel2.txt,en,de,true,"English translation supplied by the collector (2026-09-23); 19 → 27 paragraphs (translator split several)",2017-12-31,inferred_from_text,new_year_address,,Neujahrsansprache 2018,ok,"Original closes with 'Gottes Segen für das neue Jahr 2018'."
merkel,merkel3.txt,en,de,true,"English translation supplied by the collector (2026-09-23); 20 → 21 paragraphs",2018-12-31,inferred_from_text,new_year_address,,Neujahrsansprache 2019,ok,"Original closes with 'gesegnetes neues Jahr 2019'."
merkel,merkel2020.txt,en,de,true,"English translation supplied by the collector (2026-09-23); 17 paragraphs preserved",2019-12-31,inferred_from_text,new_year_address,,Neujahrsansprache 2020,ok,"Delivered 31 Dec 2019 (wishes 'neues Jahr 2020'); filename year is the target year, not the delivery year."
putin,putin2022.txt,en,ru,true,"Official English transcript of the Russian address (as collected)",2022-12-31,inferred_from_text,new_year_address,,New Year address 2023,ok,"Opens 'The year 2022 is drawing to a close'. Speaker label prefix; its first letter is missing ('resident of Russia')."
putin,putin2023.txt,en,ru,true,"Official English transcript of the Russian address (as collected)",2023-12-31,inferred_from_text,new_year_address,,New Year address 2024,ok,"'We are bidding farewell to 2023 ... Happy 2024!'. Speaker label prefix present."
putin,putin2024.txt,en,ru,true,"Official English transcript of the Russian address (as collected)",2024-12-31,inferred_from_text,new_year_address,,New Year address 2025,ok,"'the year 2025 will begin ... Happy 2025!'. Speaker label prefix present."
putin,putin2025.txt,en,ru,true,"Official English transcript of the Russian address (as collected)",2025-12-31,inferred_from_text,new_year_address,,New Year address 2026,ok,"Ends 'Happy 2026!'. Speaker label prefix present."
trump,trump1.txt,en,en,false,"Original English",2021-01-19,inferred_from_text,farewell_address,,Farewell address,ok,"Opens 'My fellow Americans: Four years ago, we launched a great national effort to rebuild our country'."
trump,trump2.txt,en,en,false,"Original English",,unknown,composite_excerpts,,Compilation of short excerpts,exclude_candidate,"NOT a single speech: ~320 words stitched from several occasions (Gorsuch nomination Jan 2017, MS-13 remarks, a disaster-visit remark, space-policy lines). Kept in the corpus at the collector's request; robustness check E reports its effect."
trump,trump3.txt,en,en,false,"Original English",2017-01-20,inferred_from_text,inaugural_address,,Inaugural address 2017,ok,"Closing lines match the 2017 inaugural. The oath ceremony at the top (announcer + Chief Justice) is removed in Phase 1 by a logged file rule."
