cluster,rank,chunk_id,leader,speech_id,similarity_to_centroid,passage
-1,1,merkel1_c003,merkel,merkel1,0.3498765230178833,"And even with the images of bombed-out Aleppo in Syria before our eyes, we can once again say how important and right it was that, during the past year, our country helped those who genuinely need our protection to gain a foothold here among us and to integrate.  All of this is reflected in our democracy, in our rule of law, and in our values.  They are the opposite of the hate-filled world of ter"
-1,2,macron2023_c002,macron,macron2023,0.290552020072937,"It was also marked by growing geopolitical tensions, by the consequences of climate disruption on our territory, and by acts of terrorism on our soil. By divisions, acts of hatred and, at times, violence on several occasions, which weaken the cohesion of the Nation. Finally, inflation has taken its toll, making everything more difficult: finding housing, getting around, doing the shopping.  There "
-1,3,putin2022_c009,putin,putin2022,0.28168410062789917,"With all my heart, I share your pain and ask you to accept my sincere words of support.  Friends,  Our country has always celebrated the start of the New Year, even during very difficult times. It has always been everyone’s favourite holiday, and has a magical power to reveal the best in people, to heighten the importance of traditional family values, the energy of kindness, generosity and trust."
-1,4,macron2025_c003,macron,macron2025,0.27925658226013184,"I know all the impatience, and sometimes the anger, that continues to exist in the country, and I share several of those concerns. These urgent matters require answers. From the very first weeks of the year ahead, the Government and Parliament will have to build agreements in order to provide the nation with a budget. This is essential. From the beginning of 2026, we will need to act: to support o"
-1,5,merkel1_c004,merkel,merkel1,0.2683333158493042,"Our state does everything it can to guarantee its citizens security in freedom.  This work is never finished, and especially this year we have provided our security authorities with a great deal of additional support. In 2017, as the Federal Government, wherever political or legislative changes are necessary, we will initiate and implement the necessary measures as quickly as possible.  Many peopl"
-1,6,macron2022_c014,macron,macron2022,0.2569080591201782,"And like you, I too grow impatient, but without ever giving in to easy solutions or fatalism. And so my wish for us in 2023 is that, through our work and our commitment, we strive to rebuild a France that is stronger and fairer, so that we may pass it on to our children.  It is through our work and our commitment that we will be able to increase the resources of our domestic security forces, our j"
-1,7,erdogan2023_c001,erdogan,erdogan2023,0.2527022361755371,"However, we are entering this new year with a sense of sorrow, both because of the adverse developments in our region and around the world, and because of the martyrs we lost in recent days.  Of course, we continue to preserve our hope for a better, more peaceful, and more prosperous future for all of humanity.  For this to happen, first of all, we need to see the so-called democratic and freedom-"
-1,8,erdogan2025_c006,erdogan,erdogan2025,0.25241801142692566,"As for those who, instead of supporting the reconstruction efforts, criticize everything that is done, I invite them to Hatay and our other disaster-stricken cities so that they can see firsthand what our state has accomplished.  As the government and the Alliance, we will continue to keep the promises we have made and, God willing, we will never let our nation down.  We will not leave alone not o"
-1,9,macron2022_c003,macron,macron2022,0.2473771870136261,"I think back to the wishes I expressed to you at the same time one year ago. Who could have imagined then that, just as we thought we were emerging, with great difficulty, from a global pandemic, within a matter of weeks we would have to confront unimaginable challenges: war returning to European soil following Russia’s aggression against Ukraine and its democracy; tens, perhaps hundreds, of thous"
-1,10,macron2023_c003,macron,macron2023,0.2372560203075409,"And yet I am convinced—and this is not false optimism—that in this context of crises, the best can emerge.  That is why I have never ceased to follow the same course: to act with determination and consistency, for today and for tomorrow. For seven years, from the position in which you placed me, I have sought to make France stronger and fairer, to liberate, protect and unite. That is our course, a"
0,1,macron2024_c002,macron,macron2024,0.8028125762939453,"A France that shines through its sporting achievements, its emotions, its generosity, and through a city of Paris shown at its very best.  Our Olympic and Paralympic Games, yes, are and will remain an unforgettable moment in the life of the Nation.  In this month of December 2024, as we had promised, we returned Notre-Dame de Paris to worship and reopened it to the public. Five years after the fir"
0,2,macron2023_c017,macron,macron2023,0.7671405673027039,"We will be proud of our athletes, our artists, our landscapes, and of this great popular celebration, made possible by thousands of volunteers, who will also build a sporting legacy for our Nation. Through the commitment of us all, beginning tomorrow.  Yes, 2024 will, as you have understood, be a truly French vintage year. Because it is only once every decade that we commemorate our Liberation on "
0,3,macron2023_c014,macron,macron2023,0.7350389957427979,"Finally, 2024 will be a year of French pride. Pride in the thousands of craftsmen, builders and entrepreneurs who have taken part in the magnificent project to rebuild Notre-Dame de Paris, whose spire once again rises toward the sky above a cathedral that will reopen on December 8.  We are a Nation of builders and craftspeople, capable, when united, of resisting and rising again. Yes, in five year"
0,4,macron2023_c016,macron,macron2023,0.6518586874008179,"2024 will be a year of pride in the French language. After restoring the Château de Villers-Cotterêts and creating there the Cité internationale de la langue française, in a few months we will welcome the French-speaking world there.  2024 will also be a year of French sporting pride, as the Olympic and Paralympic Games will take place here, in France, and therefore, in a sense, at home for all of"
0,5,macron2022_c025,macron,macron2022,0.6432571411132812,"As for us, let us be this generation of builders.  In the coming months of 2023, the reconstruction work on Notre-Dame de Paris, this extraordinary project, will move closer to completion. In the coming months, our entire country will come together in a spirit of fraternity as we approach the Olympic and Paralympic Games and as France hosts the Rugby World Cup. In the coming months, thanks to the "
0,6,macron2024_c001,macron,macron2024,0.6044669151306152,"We commemorated the bravery of our Resistance fighters and of those who liberated us, 80 years later, from Normandy to Provence.  We remembered those who fell so that France could rise again. Our heroes, our elders, our allies, those who came from every continent to liberate our homeland.  We also experienced, as I promised a year ago, moments of great pride. First of all, this summer we organized"
0,7,macron2023_c015,macron,macron2023,0.5536159873008728,"In 2024, we will also celebrate our History. Eighty years after 1944, we will take pride in our past and in our heroes whose destinies became intertwined. Soldiers of the Allied armies, but also French citizens by birth or by choice, French and foreign members of the Resistance. All fighting so that a France faithful to the spirit of the Enlightenment and to the spirit of our Revolution could be l"
0,8,macron2024_c003,macron,macron2024,0.5253686904907227,"Thousands of workers, craftsmen, women and men rebuilt the cathedral day after day throughout those five years. It was returned to everyone, and the entire world was able to admire this work.  Tomorrow, let us know how to preserve the best of what we were during this year, 2024. United, determined and in solidarity, and in the face of every major ordeal, in the face of what so many people said was"
0,9,macron2024_c000,macron,macron2024,0.24332335591316223,"My dear compatriots,  Together, this year, we proved that “impossible” is not a French word.  We became the first nation to amend our Constitution in order to guarantee women’s right to voluntarily terminate a pregnancy. We advanced equality between women and men, among other things thanks to the courage of those who dared to speak out.  We continued to build an ecology based on progress, to fight"
