cosine_similarity,chunk_a,leader_a,chunk_b,leader_b,excerpt_a,excerpt_b
0.7912694,erdogan2023_c000,erdogan,putin2024_c003,putin,"I greet each and every one of you with my most heartfelt feelings and affection.  Tonight, we are bringing the year 2023 to a close and stepping into 2024.  I wish for the new calendar year to bring g","Friends,  New Year’s Eve always holds a special place in our hearts, filling us with warmth and hope that our dreams, aspirations, and best intentions will come to fruition. As the countdown to the Ne"
0.75880945,erdogan2023_c000,erdogan,putin2022_c010,putin,"I greet each and every one of you with my most heartfelt feelings and affection.  Tonight, we are bringing the year 2023 to a close and stepping into 2024.  I wish for the new calendar year to bring g","As we see the New Year in, everyone strives to give joy to their loved ones, to show them attention and warmth, to give them presents they have been dreaming of, to see the delight in children’s eyes "
0.7569843,erdogan2023_c000,erdogan,macron2023_c000,macron,"I greet each and every one of you with my most heartfelt feelings and affection.  Tonight, we are bringing the year 2023 to a close and stepping into 2024.  I wish for the new calendar year to bring g","As I extend my best wishes to you, I want to begin by expressing our gratitude to all those among our fellow citizens who, once again this evening, are protecting, caring for others, helping, and ensu"
0.75268227,macron2023_c000,macron,putin2024_c003,putin,"As I extend my best wishes to you, I want to begin by expressing our gratitude to all those among our fellow citizens who, once again this evening, are protecting, caring for others, helping, and ensu","Friends,  New Year’s Eve always holds a special place in our hearts, filling us with warmth and hope that our dreams, aspirations, and best intentions will come to fruition. As the countdown to the Ne"
0.7526173,macron2023_c000,macron,putin2022_c010,putin,"As I extend my best wishes to you, I want to begin by expressing our gratitude to all those among our fellow citizens who, once again this evening, are protecting, caring for others, helping, and ensu","As we see the New Year in, everyone strives to give joy to their loved ones, to show them attention and warmth, to give them presents they have been dreaming of, to see the delight in children’s eyes "
0.7507376,macron2023_c000,macron,putin2022_c009,putin,"As I extend my best wishes to you, I want to begin by expressing our gratitude to all those among our fellow citizens who, once again this evening, are protecting, caring for others, helping, and ensu","With all my heart, I share your pain and ask you to accept my sincere words of support.  Friends,  Our country has always celebrated the start of the New Year, even during very difficult times. It has"
0.74856836,macron2022_c022,macron,merkel2_c008,merkel,"France and Europe have an eminent role to play at this moment in the history of humanity, as so many authoritarian regimes challenge our democracies and their foundations. Protecting our children, pro","The question will be whether we Europeans, in a global and digital world, can uphold our values with solidarity and confidence, both at home and abroad; whether we can work in this way for a Europe th"
0.7479972,erdogan2023_c000,erdogan,macron2023_c018,macron,"I greet each and every one of you with my most heartfelt feelings and affection.  Tonight, we are bringing the year 2023 to a close and stepping into 2024.  I wish for the new calendar year to bring g","2024: a year of determination, choices, renewal and pride. At its heart, a year of hope. Yes, much of our future will be decided this year. So it is up to us to act together. It is up to us to choose "
0.74799275,macron2022_c000,macron,putin2024_c003,putin,"For the sixth time, I have the privilege of sharing this moment of New Year’s wishes with you.  With you, the officers and soldiers of our armed forces who protect us; with you, police officers, genda","Friends,  New Year’s Eve always holds a special place in our hearts, filling us with warmth and hope that our dreams, aspirations, and best intentions will come to fruition. As the countdown to the Ne"
0.7450886,macron2023_c000,macron,putin2025_c004,putin,"As I extend my best wishes to you, I want to begin by expressing our gratitude to all those among our fellow citizens who, once again this evening, are protecting, caring for others, helping, and ensu","Friends,  In just a few moments, we will hear the chimes of the Kremlin clock, and the New Year will begin. We welcome it together with the nearest and dearest: our children, parents, friends, and com"
0.7396418,erdogan2025_c000,erdogan,macron2023_c000,macron,"I greet you all with my most heartfelt feelings, with affection and respect.  Today, we bid farewell to 2025 and prepare to say “hello” to 2026 with renewed excitement, new hopes, and new goals.  I wi","As I extend my best wishes to you, I want to begin by expressing our gratitude to all those among our fellow citizens who, once again this evening, are protecting, caring for others, helping, and ensu"
0.73779947,erdogan2025_c000,erdogan,putin2022_c010,putin,"I greet you all with my most heartfelt feelings, with affection and respect.  Today, we bid farewell to 2025 and prepare to say “hello” to 2026 with renewed excitement, new hopes, and new goals.  I wi","As we see the New Year in, everyone strives to give joy to their loved ones, to show them attention and warmth, to give them presents they have been dreaming of, to see the delight in children’s eyes "
0.7376267,erdogan2025_c000,erdogan,putin2024_c003,putin,"I greet you all with my most heartfelt feelings, with affection and respect.  Today, we bid farewell to 2025 and prepare to say “hello” to 2026 with renewed excitement, new hopes, and new goals.  I wi","Friends,  New Year’s Eve always holds a special place in our hearts, filling us with warmth and hope that our dreams, aspirations, and best intentions will come to fruition. As the countdown to the Ne"
0.73676914,erdogan2023_c000,erdogan,putin2025_c000,putin,"I greet each and every one of you with my most heartfelt feelings and affection.  Tonight, we are bringing the year 2023 to a close and stepping into 2024.  I wish for the new calendar year to bring g","At this moment, as we stand on the threshold of the New Year, we all feel the passage of time. Before us lies the future, and what it holds largely depends on us.  We draw strength from within ourselv"
0.7351015,erdogan2023_c000,erdogan,putin2022_c009,putin,"I greet each and every one of you with my most heartfelt feelings and affection.  Tonight, we are bringing the year 2023 to a close and stepping into 2024.  I wish for the new calendar year to bring g","With all my heart, I share your pain and ask you to accept my sincere words of support.  Friends,  Our country has always celebrated the start of the New Year, even during very difficult times. It has"
0.72858524,macron2025_c000,macron,putin2022_c009,putin,"On this evening of December 31, my thoughts go first and foremost to those who ensure the continuity of the Nation: the security forces, firefighters, volunteers, healthcare workers, workers, and all ","With all my heart, I share your pain and ask you to accept my sincere words of support.  Friends,  Our country has always celebrated the start of the New Year, even during very difficult times. It has"
0.7281892,erdogan2025_c000,erdogan,macron2024_c015,macron,"I greet you all with my most heartfelt feelings, with affection and respect.  Today, we bid farewell to 2025 and prepare to say “hello” to 2026 with renewed excitement, new hopes, and new goals.  I wi","That is why, in 2025, we will continue to make decisions, and I will also ask you to decide on some of these decisive issues. Because each and every one of you will have a role to play. Each and every"
0.7242014,macron2022_c000,macron,putin2025_c003,putin,"For the sixth time, I have the privilege of sharing this moment of New Year’s wishes with you.  With you, the officers and soldiers of our armed forces who protect us; with you, police officers, genda","You have taken upon yourselves the duty of fighting for our native land, for truth and for justice. On this New Year’s Eve, millions of people across Russia, I assure you, are with you: they think of "
0.7223372,erdogan2023_c000,erdogan,putin2023_c004,putin,"I greet each and every one of you with my most heartfelt feelings and affection.  Tonight, we are bringing the year 2023 to a close and stepping into 2024.  I wish for the new calendar year to bring g","Friends,  At all times, the New Year celebrations have been associated with bright hopes and a sincere wish to bring joy to the people you love.  The upcoming year of 2024 has been declared the Year o"
0.72217417,erdogan2024_c000,erdogan,putin2022_c010,putin,"I greet you all with my heartfelt feelings and affection.  Today, we bid farewell to 2024 and welcome the year 2025 with new hopes, expectations, and dreams.  First and foremost, I pray to Almighty Go","As we see the New Year in, everyone strives to give joy to their loved ones, to show them attention and warmth, to give them presents they have been dreaming of, to see the delight in children’s eyes "
0.721464,macron2025_c000,macron,putin2025_c003,putin,"On this evening of December 31, my thoughts go first and foremost to those who ensure the continuity of the Nation: the security forces, firefighters, volunteers, healthcare workers, workers, and all ","You have taken upon yourselves the duty of fighting for our native land, for truth and for justice. On this New Year’s Eve, millions of people across Russia, I assure you, are with you: they think of "
0.7208348,erdogan2023_c000,erdogan,macron2022_c002,macron,"I greet each and every one of you with my most heartfelt feelings and affection.  Tonight, we are bringing the year 2023 to a close and stepping into 2024.  I wish for the new calendar year to bring g","If we were to give in to the spirit of division that presses upon us from every side, we would have virtually no chance of overcoming the challenges before us in such a harsh world and in such difficu"
0.72062135,macron2022_c001,macron,merkel2_c000,merkel,"New Year’s addresses have something unique about them: they compel us to speak of a future which, in truth, we do not know, but which we know with certainty we will have to face, with our strengths an","I extend my warm greetings to you. I am pleased to have the opportunity, on this New Year’s Eve as well, to share with you a few thoughts that are on my mind as we stand on the threshold of a new year"
0.71693736,macron2024_c014,macron,merkel2020_c000,merkel,"We are now a quarter of a century into this century. Some of the promises of the year 2000 have been fulfilled, but so many disruptions and imbalances have also emerged. So, for the quarter-century ah","This evening, we stand not only at the beginning of a new year, but also at the beginning of a new decade. I am convinced that we have good reason to be confident that the 2020s, which will begin in j"
0.71555394,macron2025_c002,macron,merkel3_c004,merkel,"But beyond all this, no one is blind to the disorder in the world or to our own weaknesses. Our world is becoming harsher every day. War and instability persist in the Near and Middle East, with conse","On the one hand, this overwhelming beauty. On the other hand, we know how vulnerable the foundations of our lives are—in the broadest sense. There is the defining challenge of climate change, the chal"
0.71504194,macron2022_c006,macron,putin2023_c000,putin,"And despite all these crises and all these challenges, 2022 was also, for all of us, a year of intense democratic activity, during which you renewed our National Assembly and, in the presidential elec","We are bidding farewell to 2023. Very soon it will become part of history and we will have to move forward, create the future.  We have worked very hard and accomplished a lot over the past year. We w"
0.71481293,macron2025_c000,macron,merkel3_c006,merkel,"On this evening of December 31, my thoughts go first and foremost to those who ensure the continuity of the Nation: the security forces, firefighters, volunteers, healthcare workers, workers, and all ","In May, by taking part in the European elections, you can help ensure that the European Union continues to be a project of peace, prosperity and security in the future.  Dear fellow citizens, prosperi"
0.71471196,macron2022_c001,macron,putin2022_c010,putin,"New Year’s addresses have something unique about them: they compel us to speak of a future which, in truth, we do not know, but which we know with certainty we will have to face, with our strengths an","As we see the New Year in, everyone strives to give joy to their loved ones, to show them attention and warmth, to give them presents they have been dreaming of, to see the delight in children’s eyes "
0.7146046,macron2022_c000,macron,putin2025_c004,putin,"For the sixth time, I have the privilege of sharing this moment of New Year’s wishes with you.  With you, the officers and soldiers of our armed forces who protect us; with you, police officers, genda","Friends,  In just a few moments, we will hear the chimes of the Kremlin clock, and the New Year will begin. We welcome it together with the nearest and dearest: our children, parents, friends, and com"
0.71453464,macron2022_c000,macron,putin2022_c004,putin,"For the sixth time, I have the privilege of sharing this moment of New Year’s wishes with you.  With you, the officers and soldiers of our armed forces who protect us; with you, police officers, genda","Russian servicemen, militiamen and volunteers are now fighting for their homeland, for truth and justice, for reliable guarantees of peace and Russia’s security. They are all our heroes and they are s"
